"Datum";"Standort";"Disponent";"Fahrzeuge";"Stopps";"Unverplante Stopps";"Kosten Fuhrpark";"Stoppschnitt";"Stoppkosten"
"12.11.2025";"Stockstadt";"Peter";"14";"325";"15,2";"5320€";"23,2";"16,37€"
"12.11.2025";"Eutingen";"Julia";"17";"347";"16,8";"6460€";"20,4";"18,62€"
"12.11.2025";"Berlin";"Danny";"8";"330";"29,4";"3040€";"41,2";"9,21€"
"12.11.2025";"Melle";"Klaus";"8";"255";"21,5";"3040€";"31,9";"11,92€"
"12.11.2025";"Delmenhorst";"Maria";"12";"279";"29,9";"4560€";"23,2";"16,34€"
"12.11.2025";"Güstrow";"Stefan";"10";"346";"22,8";"3800€";"34,6";"10,98€"
"13.11.2025";"Aschaffenburg";"Thomas";"8";"316";"20,8";"3040€";"39,5";"9,62€"
"13.11.2025";"Renningen";"Sarah";"18";"211";"15,9";"6840€";"11,7";"32,42€"
"13.11.2025";"Hamburg";"Michael";"15";"316";"17,8";"5700€";"21,1";"18,04€"
"13.11.2025";"Hannover";"Lisa";"17";"259";"16,2";"6460€";"15,2";"24,94€"
"13.11.2025";"Langenfeld";"Micha";"18";"344";"21,2";"6840€";"19,1";"19,88€"
"13.11.2025";"Föhren";"Frank";"10";"333";"25,9";"3800€";"33,3";"11,41€"
"13.11.2025";"Kassel";"Anna";"9";"209";"28,0";"3420€";"23,2";"16,36€"
"13.11.2025";"Stockstadt";"Peter";"14";"232";"22,2";"5320€";"16,6";"22,93€"
"13.11.2025";"Eutingen";"Julia";"18";"284";"20,9";"6840€";"15,8";"24,08€"
"13.11.2025";"Berlin";"Danny";"8";"297";"17,0";"3040€";"37,1";"10,24€"
"13.11.2025";"Melle";"Klaus";"14";"205";"23,0";"5320€";"14,6";"25,95€"
"13.11.2025";"Delmenhorst";"Maria";"10";"222";"29,2";"3800€";"22,2";"17,12€"
"13.11.2025";"Güstrow";"Stefan";"8";"284";"16,9";"3040€";"35,5";"10,7€"
"14.11.2025";"Aschaffenburg";"Thomas";"11";"312";"15,7";"4180€";"28,4";"13,4€"
"14.11.2025";"Renningen";"Sarah";"14";"317";"19,6";"5320€";"22,6";"16,78€"
"14.11.2025";"Hamburg";"Michael";"12";"256";"22,2";"4560€";"21,3";"17,81€"
"14.11.2025";"Hannover";"Lisa";"12";"284";"27,1";"4560€";"23,7";"16,06€"
"14.11.2025";"Langenfeld";"Micha";"9";"237";"24,5";"3420€";"26,3";"14,43€"
"14.11.2025";"Föhren";"Frank";"10";"251";"21,8";"3800€";"25,1";"15,14€"
"14.11.2025";"Kassel";"Anna";"14";"305";"29,2";"5320€";"21,8";"17,44€"
"14.11.2025";"Stockstadt";"Peter";"15";"344";"18,9";"5700€";"22,9";"16,57€"
"14.11.2025";"Eutingen";"Julia";"9";"205";"19,9";"3420€";"22,8";"16,68€"
"14.11.2025";"Berlin";"Danny";"18";"314";"21,9";"6840€";"17,4";"21,78€"
"14.11.2025";"Melle";"Klaus";"18";"317";"17,7";"6840€";"17,6";"21,58€"
"14.11.2025";"Delmenhorst";"Maria";"16";"295";"25,0";"6080€";"18,4";"20,61€"
"14.11.2025";"Güstrow";"Stefan";"17";"250";"17,5";"6460€";"14,7";"25,84€"
"17.11.2025";"Aschaffenburg";"Thomas";"13";"348";"23,0";"4940€";"26,8";"14,2€"
"17.11.2025";"Renningen";"Sarah";"9";"277";"19,8";"3420€";"30,8";"12,35€"
"17.11.2025";"Hamburg";"Michael";"16";"255";"28,8";"6080€";"15,9";"23,84€"
"17.11.2025";"Hannover";"Lisa";"17";"235";"26,2";"6460€";"13,8";"27,49€"
"17.11.2025";"Langenfeld";"Micha";"15";"213";"20,5";"5700€";"14,2";"26,76€"
"17.11.2025";"Föhren";"Frank";"17";"213";"17,0";"6460€";"12,5";"30,33€"
"17.11.2025";"Kassel";"Anna";"14";"306";"16,6";"5320€";"21,9";"17,39€"
"17.11.2025";"Stockstadt";"Peter";"10";"314";"19,0";"3800€";"31,4";"12,1€"
"17.11.2025";"Eutingen";"Julia";"17";"238";"18,2";"6460€";"14,0";"27,14€"
"17.11.2025";"Berlin";"Danny";"16";"344";"22,1";"6080€";"21,5";"17,67€"
"17.11.2025";"Melle";"Klaus";"16";"308";"23,8";"6080€";"19,2";"19,74€"
"17.11.2025";"Delmenhorst";"Maria";"15";"312";"20,7";"5700€";"20,8";"18,27€"
"17.11.2025";"Güstrow";"Stefan";"11";"225";"18,7";"4180€";"20,5";"18,58€"
"18.11.2025";"Aschaffenburg";"Thomas";"13";"320";"16,5";"4940€";"24,6";"15,44€"
"18.11.2025";"Renningen";"Sarah";"14";"311";"17,8";"5320€";"22,2";"17,11€"
"18.11.2025";"Hamburg";"Michael";"15";"254";"15,8";"5700€";"16,9";"22,44€"
"18.11.2025";"Hannover";"Lisa";"12";"235";"28,4";"4560€";"19,6";"19,4€"
"18.11.2025";"Langenfeld";"Micha";"18";"203";"29,6";"6840€";"11,3";"33,69€"
"18.11.2025";"Föhren";"Frank";"13";"261";"23,4";"4940€";"20,1";"18,93€"
"18.11.2025";"Kassel";"Anna";"10";"243";"29,5";"3800€";"24,3";"15,64€"
"18.11.2025";"Stockstadt";"Peter";"11";"219";"16,7";"4180€";"19,9";"19,09€"
"18.11.2025";"Eutingen";"Julia";"13";"236";"29,0";"4940€";"18,2";"20,93€"
"18.11.2025";"Berlin";"Danny";"10";"333";"17,0";"3800€";"33,3";"11,41€"
"18.11.2025";"Melle";"Klaus";"9";"212";"16,3";"3420€";"23,6";"16,13€"
"18.11.2025";"Delmenhorst";"Maria";"16";"216";"22,1";"6080€";"13,5";"28,15€"
"18.11.2025";"Güstrow";"Stefan";"10";"293";"27,8";"3800€";"29,3";"12,97€"
"19.11.2025";"Aschaffenburg";"Thomas";"9";"277";"29,9";"3420€";"30,8";"12,35€"
"19.11.2025";"Renningen";"Sarah";"10";"234";"25,8";"3800€";"23,4";"16,24€"
"19.11.2025";"Hamburg";"Michael";"15";"210";"18,0";"5700€";"14,0";"27,14€"
"19.11.2025";"Hannover";"Lisa";"12";"204";"24,5";"4560€";"17,0";"22,35€"
"19.11.2025";"Langenfeld";"Micha";"16";"241";"27,2";"6080€";"15,1";"25,23€"
"19.11.2025";"Föhren";"Frank";"10";"324";"26,2";"3800€";"32,4";"11,73€"
"19.11.2025";"Kassel";"Anna";"16";"344";"20,8";"6080€";"21,5";"17,67€"
"19.11.2025";"Stockstadt";"Peter";"15";"303";"16,8";"5700€";"20,2";"18,81€"
"19.11.2025";"Eutingen";"Julia";"14";"241";"26,9";"5320€";"17,2";"22,07€"
"19.11.2025";"Berlin";"Danny";"11";"237";"25,6";"4180€";"21,5";"17,64€"
"19.11.2025";"Melle";"Klaus";"8";"285";"22,4";"3040€";"35,6";"10,67€"
"19.11.2025";"Delmenhorst";"Maria";"13";"237";"20,7";"4940€";"18,2";"20,84€"
"19.11.2025";"Güstrow";"Stefan";"11";"214";"17,2";"4180€";"19,5";"19,53€"
"20.11.2025";"Aschaffenburg";"Thomas";"9";"294";"23,5";"3420€";"32,7";"11,63€"
"20.11.2025";"Renningen";"Sarah";"18";"268";"29,4";"6840€";"14,9";"25,52€"
"20.11.2025";"Hamburg";"Michael";"13";"222";"29,2";"4940€";"17,1";"22,25€"
"20.11.2025";"Hannover";"Lisa";"15";"310";"23,9";"5700€";"20,7";"18,39€"
"20.11.2025";"Langenfeld";"Micha";"11";"332";"25,6";"4180€";"30,2";"12,59€"
"20.11.2025";"Föhren";"Frank";"17";"336";"26,0";"6460€";"19,8";"19,23€"
"20.11.2025";"Kassel";"Anna";"13";"210";"16,7";"4940€";"16,2";"23,52€"
"20.11.2025";"Stockstadt";"Peter";"11";"256";"19,7";"4180€";"23,3";"16,33€"
"20.11.2025";"Eutingen";"Julia";"12";"252";"27,0";"4560€";"21,0";"18,1€"
"20.11.2025";"Berlin";"Danny";"16";"234";"23,1";"6080€";"14,6";"25,98€"
"20.11.2025";"Melle";"Klaus";"9";"334";"26,1";"3420€";"37,1";"10,24€"
"20.11.2025";"Delmenhorst";"Maria";"18";"307";"18,7";"6840€";"17,1";"22,28€"
"20.11.2025";"Güstrow";"Stefan";"11";"287";"26,7";"4180€";"26,1";"14,56€"
"21.11.2025";"Aschaffenburg";"Thomas";"17";"313";"17,7";"6460€";"18,4";"20,64€"
"21.11.2025";"Renningen";"Sarah";"8";"347";"16,3";"3040€";"43,4";"8,76€"
"21.11.2025";"Hamburg";"Michael";"8";"270";"16,0";"3040€";"33,8";"11,26€"
"21.11.2025";"Hannover";"Lisa";"18";"261";"17,9";"6840€";"14,5";"26,21€"
"21.11.2025";"Langenfeld";"Micha";"15";"218";"26,6";"5700€";"14,5";"26,15€"
"21.11.2025";"Föhren";"Frank";"9";"312";"23,4";"3420€";"34,7";"10,96€"
"21.11.2025";"Kassel";"Anna";"8";"207";"29,2";"3040€";"25,9";"14,69€"
"21.11.2025";"Stockstadt";"Peter";"17";"309";"27,0";"6460€";"18,2";"20,91€"
"21.11.2025";"Eutingen";"Julia";"9";"334";"15,4";"3420€";"37,1";"10,24€"
"21.11.2025";"Berlin";"Danny";"15";"271";"27,0";"5700€";"18,1";"21,03€"
"21.11.2025";"Melle";"Klaus";"8";"291";"16,5";"3040€";"36,4";"10,45€"
"21.11.2025";"Delmenhorst";"Maria";"15";"245";"21,0";"5700€";"16,3";"23,27€"
"21.11.2025";"Güstrow";"Stefan";"12";"341";"28,4";"4560€";"28,4";"13,37€"
"24.11.2025";"Aschaffenburg";"Thomas";"14";"284";"17,7";"5320€";"20,3";"18,73€"
"24.11.2025";"Renningen";"Sarah";"9";"201";"24,4";"3420€";"22,3";"17,01€"
"24.11.2025";"Hamburg";"Michael";"9";"318";"24,4";"3420€";"35,3";"10,75€"
"24.11.2025";"Hannover";"Lisa";"16";"252";"29,2";"6080€";"15,8";"24,13€"
"24.11.2025";"Langenfeld";"Micha";"15";"280";"22,3";"5700€";"18,7";"20,36€"
"24.11.2025";"Föhren";"Frank";"8";"313";"19,0";"3040€";"39,1";"9,71€"
"24.11.2025";"Kassel";"Anna";"16";"302";"24,7";"6080€";"18,9";"20,13€"
"24.11.2025";"Stockstadt";"Peter";"17";"228";"19,1";"6460€";"13,4";"28,33€"
"24.11.2025";"Eutingen";"Julia";"9";"327";"23,6";"3420€";"36,3";"10,46€"
"24.11.2025";"Berlin";"Danny";"8";"321";"16,6";"3040€";"40,1";"9,47€"
"24.11.2025";"Melle";"Klaus";"18";"256";"26,0";"6840€";"14,2";"26,72€"
"24.11.2025";"Delmenhorst";"Maria";"16";"252";"28,7";"6080€";"15,8";"24,13€"
"24.11.2025";"Güstrow";"Stefan";"17";"245";"17,5";"6460€";"14,4";"26,37€"
"25.11.2025";"Aschaffenburg";"Thomas";"10";"235";"16,0";"3800€";"23,5";"16,17€"
"25.11.2025";"Renningen";"Sarah";"18";"312";"24,2";"6840€";"17,3";"21,92€"
"25.11.2025";"Hamburg";"Michael";"14";"310";"17,0";"5320€";"22,1";"17,16€"
"25.11.2025";"Hannover";"Lisa";"17";"235";"17,4";"6460€";"13,8";"27,49€"
"25.11.2025";"Langenfeld";"Micha";"8";"308";"24,3";"3040€";"38,5";"9,87€"
"25.11.2025";"Föhren";"Frank";"16";"239";"22,4";"6080€";"14,9";"25,44€"
"25.11.2025";"Kassel";"Anna";"17";"224";"27,3";"6460€";"13,2";"28,84€"
"25.11.2025";"Stockstadt";"Peter";"10";"301";"20,4";"3800€";"30,1";"12,62€"
"25.11.2025";"Eutingen";"Julia";"18";"248";"29,3";"6840€";"13,8";"27,58€"
"25.11.2025";"Berlin";"Danny";"15";"282";"27,1";"5700€";"18,8";"20,21€"
"25.11.2025";"Melle";"Klaus";"13";"224";"24,7";"4940€";"17,2";"22,05€"
"25.11.2025";"Delmenhorst";"Maria";"16";"308";"15,7";"6080€";"19,2";"19,74€"
"25.11.2025";"Güstrow";"Stefan";"8";"225";"28,7";"3040€";"28,1";"13,51€"
"26.11.2025";"Aschaffenburg";"Thomas";"12";"206";"28,9";"4560€";"17,2";"22,14€"
"26.11.2025";"Renningen";"Sarah";"14";"281";"15,8";"5320€";"20,1";"18,93€"
"26.11.2025";"Hamburg";"Michael";"18";"302";"23,9";"6840€";"16,8";"22,65€"
"26.11.2025";"Hannover";"Lisa";"9";"330";"20,1";"3420€";"36,7";"10,36€"
"26.11.2025";"Langenfeld";"Micha";"14";"214";"23,1";"5320€";"15,3";"24,86€"
"26.11.2025";"Föhren";"Frank";"9";"215";"28,1";"3420€";"23,9";"15,91€"
"26.11.2025";"Kassel";"Anna";"10";"233";"28,1";"3800€";"23,3";"16,31€"
"26.11.2025";"Stockstadt";"Peter";"10";"322";"20,3";"3800€";"32,2";"11,8€"
"26.11.2025";"Eutingen";"Julia";"12";"215";"29,8";"4560€";"17,9";"21,21€"
"26.11.2025";"Berlin";"Danny";"16";"302";"26,0";"6080€";"18,9";"20,13€"
"26.11.2025";"Melle";"Klaus";"15";"267";"23,8";"5700€";"17,8";"21,35€"
"26.11.2025";"Delmenhorst";"Maria";"12";"272";"20,9";"4560€";"22,7";"16,76€"
"26.11.2025";"Güstrow";"Stefan";"18";"236";"16,3";"6840€";"13,1";"28,98€"
"27.11.2025";"Aschaffenburg";"Thomas";"15";"262";"22,0";"5700€";"17,5";"21,76€"
"27.11.2025";"Renningen";"Sarah";"16";"251";"21,0";"6080€";"15,7";"24,22€"
"27.11.2025";"Hamburg";"Michael";"13";"316";"16,8";"4940€";"24,3";"15,63€"
"27.11.2025";"Hannover";"Lisa";"16";"202";"27,0";"6080€";"12,6";"30,1€"
"27.11.2025";"Langenfeld";"Micha";"14";"208";"29,9";"5320€";"14,9";"25,58€"
"27.11.2025";"Föhren";"Frank";"17";"281";"17,3";"6460€";"16,5";"22,99€"
"27.11.2025";"Kassel";"Anna";"13";"212";"23,1";"4940€";"16,3";"23,3€"
"27.11.2025";"Stockstadt";"Peter";"12";"297";"20,9";"4560€";"24,8";"15,35€"
"27.11.2025";"Eutingen";"Julia";"16";"275";"19,9";"6080€";"17,2";"22,11€"
"27.11.2025";"Berlin";"Danny";"18";"323";"18,9";"6840€";"17,9";"21,18€"
"27.11.2025";"Melle";"Klaus";"17";"345";"18,3";"6460€";"20,3";"18,72€"
"27.11.2025";"Delmenhorst";"Maria";"12";"280";"28,2";"4560€";"23,3";"16,29€"
"27.11.2025";"Güstrow";"Stefan";"10";"266";"25,2";"3800€";"26,6";"14,29€"
"28.11.2025";"Aschaffenburg";"Thomas";"8";"205";"28,0";"3040€";"25,6";"14,83€"
"28.11.2025";"Renningen";"Sarah";"18";"258";"20,0";"6840€";"14,3";"26,51€"
"28.11.2025";"Hamburg";"Michael";"12";"299";"26,3";"4560€";"24,9";"15,25€"
"28.11.2025";"Hannover";"Lisa";"18";"244";"15,4";"6840€";"13,6";"28,03€"
"28.11.2025";"Langenfeld";"Micha";"17";"306";"28,6";"6460€";"18,0";"21,11€"
"28.11.2025";"Föhren";"Frank";"9";"276";"15,1";"3420€";"30,7";"12,39€"
"28.11.2025";"Kassel";"Anna";"18";"312";"16,7";"6840€";"17,3";"21,92€"
"28.11.2025";"Stockstadt";"Peter";"15";"308";"16,6";"5700€";"20,5";"18,51€"
"28.11.2025";"Eutingen";"Julia";"17";"262";"17,7";"6460€";"15,4";"24,66€"
"28.11.2025";"Berlin";"Danny";"13";"347";"16,0";"4940€";"26,7";"14,24€"
"28.11.2025";"Melle";"Klaus";"8";"211";"23,7";"3040€";"26,4";"14,41€"
"28.11.2025";"Delmenhorst";"Maria";"17";"319";"28,1";"6460€";"18,8";"20,25€"
"28.11.2025";"Güstrow";"Stefan";"11";"324";"16,0";"4180€";"29,5";"12,9€"
